station_group_slug,station_name,generated_hiragana,generated_katakana,generated_initial_kana,reason
"shinzoukekkansentaa-gunma-maebashishi","心臓血管センター","しんぞうけっかんセンター","シンゾウケッカンセンター","さ","katakana_remains"
"shionomiya-osaka-kawachinaganoshi","汐ノ宮","しおノみや","シオノミヤ","さ","katakana_remains;special_char"
"shioyukisawa-yamanashi-minobumachi","塩之沢","しおのさわ","シオノサワ","さ","special_char"
"shirakamigakutozanguchi-aomori-fukauramachi","白神岳登山口","しらかみたけしとざんぐち","シラカミタケシトザングチ","さ","special_char"
"shiritsutaiikukanmae（kenchoutoori）-kumamoto-kumamotoshi","市立体育館前（県庁通）","しりつたいいくかんまえ（けんちょうどおり）","シリツタイイクカンマエ（ケンチョウドオリ）","さ","long_reading"
"shiromikeoka-chiba-ootakimachi","城見ヶ丘","しろみヶおか","シロミヶオカ","さ","kanji_remains;katakana_remains;special_char"
"shiroukehara-yamaguchi-mineshi","四郎ヶ原","しろうがはら","シロウガハラ","さ","special_char"
"shishigayaookura-tokyo-setagayaku","祖師ヶ谷大蔵","そしヶたにおおくら","ソシヶタニオオクラ","さ","kanji_remains;katakana_remains;special_char"
"shitajinmei-tokyo-shinagawaku","下神明","しもしんめい","シモシンメイ","さ","special_char"
"shitanokou-oita-kyuushoshi","下ノ江","したノえ","シタノエ","さ","katakana_remains;special_char"
"shitennoujimaeyuuhikeoka-osaka-oosakashi","四天王寺前夕陽ヶ丘","してんのうじぜんゆうひヶおか","シテンノウジゼンユウヒヶオカ","さ","kanji_remains;katakana_remains;special_char"
"shitsuhashi-osaka-oosakashi","四ツ橋","よんツきょう","ヨンツキョウ","や","katakana_remains"
"shitsuki-tokyo-katsushikaku","四ツ木","よツぎ","ヨツギ","や","katakana_remains"
"shitsukoya-akita-akitashi","四ツ小屋","よツごや","ヨツゴヤ","や","katakana_remains"
"shitsukura-fukushima-iwakishi","四ツ倉","よんツくら","ヨンツクラ","や","katakana_remains"
"shitsutani-tokyo-chiyodaku","四ツ谷","よツや","ヨツヤ","や","katakana_remains"
"shitsutani-tokyo-shinjukuku","四ツ谷","よツや","ヨツヤ","や","katakana_remains"
"shouinjinjamae-tokyo-setagayaku","松陰神社前","しょういんじんしゃまえ","ショウインジンシャマエ","さ","special_char"
"shoukousentaairiguchi-hiroshima-hiroshimashi","商工センター入口","しょうこうセンターいりぐち","ショウコウセンターイリグチ","さ","katakana_remains"
"sodegaura-chiba-sodegaurashi","袖ヶ浦","そでがうら","ソデガウラ","さ","special_char"
"sonamikami-miyagi-ishinomakishi","曽波神","そなみしん","ソナミシン","さ","special_char"
"soshioryuutsuusentaa-saitama-kumagayashi","ソシオ流通センター","ソシオりゅうつうセンター","ソシオリュウツウセンター","その他","katakana_remains"
"soudai-mie-matsusakashi","漕代","漕だい","漕ダイ","その他","kanji_remains"
"sougourihabirisentaa-aichi-nagoyashi","総合リハビリセンター","そうごうリハビリセンター","ソウゴウリハビリセンター","さ","katakana_remains"
"souja-okayama-soushashi","総社","そうじゃ","ソウジャ","さ","special_char"
"sounoki-toyama-kamiichimachi","相ノ木","あいノき","アイノキ","あ","katakana_remains;special_char"
"sounono-akita-yokoteshi","相野々","あいの々","アイノ々","あ","kanji_remains"
"sukekuchi-aichi-kiyosushi","須ヶ口","すがぐち","スガグチ","さ","special_char"
"sukuriin-shiga-hikoneshi","スクリーン","スクリーン","スクリーン","その他","katakana_remains"
"suminoekouen-osaka-oosakashi","住之江公園","すみのえこうえん","スミノエコウエン","さ","special_char"
"sumiyoshitaisha-osaka-oosakashi","住吉大社","すみよしたいしゃ","スミヨシタイシャ","さ","special_char"
"supeesuwaarudo-fukuoka-kitakyuushuushi","スペースワールド","スペースワールド","スペースワールド","その他","katakana_remains"
"supootsukouen-fukui-etsuzenshi","スポーツ公園","スポーツこうえん","スポーツコウエン","その他","katakana_remains"
"supootsusentaa-chiba-chibashi","スポーツセンター","スポーツセンター","スポーツセンター","その他","katakana_remains"
"suwajinja-nagasaki-nagasakishi","諏訪神社","すわじんじゃ","スワジンジャ","さ","special_char"
"suwanomori-osaka-sakaishi","諏訪ノ森","すわノもり","スワノモリ","さ","katakana_remains;special_char"
