station_group_slug,station_name,generated_hiragana,generated_katakana,generated_initial_kana,reason
"hanenoura-tokushima-ananshi","羽ノ浦","はノうら","ハノウラ","は","katakana_remains;special_char"
"hanshinkokudou-hyogo-nishinomiyashi","阪神国道","はんしんこくどう","ハンシンコクドウ","は","special_char"
"haranomachi-fukushima-minamisoumashi","原ノ町","はらノまち","ハラノマチ","は","katakana_remains;special_char"
"hasukeike-miyazaki-miyazakishi","蓮ヶ池","はちすヶち","ハチスヶチ","は","kanji_remains;katakana_remains;special_char"
"hatagaya-tokyo-shibuyaku","幡ヶ谷","はたヶたに","ハタヶタニ","は","kanji_remains;katakana_remains;special_char"
"hatoketani-saitama-kawaguchishi","鳩ヶ谷","はとがや","ハトガヤ","は","special_char"
"hatonosu-tokyo-okutamamachi","鳩ノ巣","はとノす","ハトノス","は","katakana_remains;special_char"
"hattoritenjin-osaka-toyonakashi","服部天神","はっとりてんじん","ハットリテンジン","は","special_char"
"hausutenbosu-nagasaki-saseboshi","ハウステンボス","ハウステンボス","ハウステンボス","その他","katakana_remains"
"hibarikeoka-tokyo-nishitoukyoushi","ひばりヶ丘","ひばりがおか","ヒバリガオカ","は","special_char"
"hidaichinomiya-gifu-takayamashi","飛騨一ノ宮","ひだいちノみや","ヒダイチノミヤ","は","katakana_remains;special_char"
"higashiisahaya-nagasaki-soushi","東諫早","ひがし諫はや","ヒガシ諫ハヤ","は","kanji_remains"
"higashikanagawa-kanagawa-yokohamashi","東神奈川","ひがしかながわ","ヒガシカナガワ","は","special_char"
"higashinakakami-tokyo-akishimashi","東中神","ひがしなかしん","ヒガシナカシン","は","special_char"
"higashiyama.okadenmyuujiamu-okayama-okayamashi","東山・おかでんミュージアム","ひがしやま・おかでんミュージアム","ヒガシヤマ・オカデンミュージアム","は","katakana_remains"
"hikifune-tokyo-sumidaku","曳舟","曳ふね","曳フネ","その他","kanji_remains"
"hinaguonsen-kumamoto-yashiroshi","日奈久温泉","にち奈ひさおんせん","ニチ奈ヒサオンセン","な","kanji_remains"
"hirekesaki-chiba-nagareyamashi","鰭ヶ崎","ひれがさき","ヒレガサキ","は","special_char"
"hirodenhonshamae-hiroshima-hiroshimashi","広電本社前","ひろでんほんしゃまえ","ヒロデンホンシャマエ","は","special_char"
"hirokamiko-gifu-koubemachi","広神戸","ひろこうべ","ヒロコウベ","は","special_char"
"hirokawabiichi-wakayama-hirogawamachi","広川ビーチ","ひろかわビーチ","ヒロカワビーチ","は","katakana_remains"
"hodogaya-kanagawa-yokohamashi","保土ヶ谷","ほどがや","ホドガヤ","は","special_char"
"honisahaya（isahayashiyakushomae）-nagasaki-soushi","本諫早（諫早市役所前）","ほん諫はや（諫はやしやくしょまえ）","ホン諫ハヤ（諫ハヤシヤクショマエ）","は","kanji_remains"
"horinonai-kanagawa-yokosukashi","堀ノ内","ほりノうち","ホリノウチ","は","katakana_remains;special_char"
"hoshikeoka-aichi-nagoyashi","星ヶ丘","ほしがおか","ホシガオカ","は","special_char"
"hoshikeoka-osaka-hirakatashi","星ヶ丘","ほしがおか","ホシガオカ","は","special_char"
"ichigaya-tokyo-chiyodaku","市ヶ谷","いちがや","イチガヤ","あ","special_char"
"ichigaya-tokyo-shinjukuku","市ヶ谷","いちがや","イチガヤ","あ","special_char"
"ichinoe-tokyo-edogawaku","一之江","いちのえ","イチノエ","あ","special_char"
"ichinoseki-iwate-ichizekishi","一ノ関","いちノせき","イチノセキ","あ","katakana_remains;special_char"
"ichinowari-saitama-kasukabeshi","一ノ割","いちノわり","イチノワリ","あ","katakana_remains;special_char"
"ichitsuki-aichi-kariyashi","一ツ木","ひとツぎ","ヒトツギ","は","katakana_remains"
"idoketani-kanagawa-yokohamashi","井土ヶ谷","いどヶたに","イドヶタニ","あ","kanji_remains;katakana_remains;special_char"
"igakoube-mie-igashi","伊賀神戸","いがこうべ","イガコウベ","あ","special_char"
"ikarikekan-aomori-hirakawashi","碇ヶ関","いかりがせき","イカリガセキ","あ","special_char"
"ikenoue-tokyo-setagayaku","池ノ上","いけノうえ","イケノウエ","あ","katakana_remains;special_char"
"inabasha-tottori-tottorishi","因幡社","いなばやしろ","イナバヤシロ","あ","special_char"
"inamurakesaki-kanagawa-kamakurashi","稲村ヶ崎","いなむらがさき","イナムラガサキ","あ","special_char"
"intekkuhonshamae-toyama-toyamashi","インテック本社前","インテックほんしゃまえ","インテックホンシャマエ","その他","katakana_remains;special_char"
"irikeikekouen-aichi-nagakuteshi","杁ヶ池公園","えぶりヶちこうえん","エブリヶチコウエン","あ","kanji_remains;katakana_remains;special_char"
"iryousentaa-hyogo-koubeshi","医療センター","いりょうセンター","イリョウセンター","あ","katakana_remains"
"isahaya-nagasaki-soushi","諫早","諫はや","諫ハヤ","その他","kanji_remains"
