station_group_slug,station_name,generated_hiragana,generated_katakana,generated_initial_kana,reason
"odakyuutamasentaa-tokyo-tamashi","小田急多摩センター","おだきゅうたまセンター","オダキュウタマセンター","あ","katakana_remains"
"oginoshiro-niigata-izumozakimachi","小木ノ城","おぎノじょう","オギノジョウ","あ","katakana_remains;special_char"
"ona-shizuoka-hamamatsushi","尾奈","お奈","オ奈","あ","kanji_remains"
"ookawadamukouen-fukushima-aizuwakamatsushi","大川ダム公園","おおかわダムこうえん","オオカワダムコウエン","あ","katakana_remains"
"ookusukanarupaakuhoterutoyamamae-toyama-toyamashi","オークスカナルパークホテル富山前","オークスカナルパークホテルとやままえ","オークスカナルパークホテルトヤママエ","その他","katakana_remains"
"oomori.kinjougakuinmae-aichi-nagoyashi","大森・金城学院前","おおもり・きんじょうがくいんまえ","オオモリ・キンジョウガクインマエ","あ","katakana_remains"
"oosakabijinesupaaku-osaka-oosakashi","大阪ビジネスパーク","おおさかビジネスパーク","オオサカビジネスパーク","あ","katakana_remains"
"ootemooru-toyama-toyamashi","大手モール","おおてモール","オオテモール","あ","katakana_remains"
"ootsuka.teikyoudaigaku-tokyo-hachioujishi","大塚・帝京大学","おおつか・ていきょうだいがく","オオツカ・テイキョウダイガク","あ","katakana_remains"
"ooyamakeeburu-kanagawa-iseharashi","大山ケーブル","おおやまケーブル","オオヤマケーブル","あ","katakana_remains;special_char"
"orenjitaun-kagawa-sanukishi","オレンジタウン","オレンジタウン","オレンジタウン","その他","katakana_remains"
"oujikamiya-tokyo-kitaku","王子神谷","おうじかみや","オウジカミヤ","あ","special_char"
"oumijinguumae-shiga-ootsushi","近江神宮前","おうみじんぐうまえ","オウミジングウマエ","あ","special_char"
"poototaaminaru-hyogo-koubeshi","ポートターミナル","ポートターミナル","ポートターミナル","その他","katakana_remains"
"poototaunhigashi-osaka-oosakashi","ポートタウン東","ポートタウンひがし","ポートタウンヒガシ","その他","katakana_remains"
"poototaunnishi-osaka-oosakashi","ポートタウン西","ポートタウンにし","ポートタウンニシ","その他","katakana_remains"
"randentenjinkawa-kyoto-kyoutoshi","嵐電天神川","あらしでんてんじんかわ","アラシデンテンジンカワ","あ","special_char"
"reiwakosutayukuhashi-fukuoka-yukuhashishi","令和コスタ行橋","りょうわコスタゆくはし","リョウワコスタユクハシ","ら","katakana_remains"
"rikuzenharanomachi-miyagi-sendaishi","陸前原ノ町","りくぜんはらノまち","リクゼンハラノマチ","ら","katakana_remains;special_char"
"rinkuutaun-osaka-izumisanoshi","りんくうタウン","りんくうタウン","リンクウタウン","ら","katakana_remains"
"ritsukehana-nagano-naganoshi","立ヶ花","たてがはな","タテガハナ","た","special_char"
"rizootogeetouei･suteeshon-chiba-urayasushi","リゾートゲートウェイ･ステーション","リゾートゲートウェイ･ステーション","リゾートゲートウェイ･ステーション","その他","katakana_remains"
"roizutaun-hokkaido-toubetsumachi","ロイズタウン","ロイズタウン","ロイズタウン","その他","katakana_remains"
"rokkoukeeburushita-hyogo-koubeshi","六甲ケーブル下","ろっこうケーブルか","ロッコウケーブルカ","ら","katakana_remains;special_char"
"roopuueiiriguchi-hokkaido-sapporoshi","ロープウェイ入口","ロープウェイいりぐち","ロープウェイイリグチ","その他","katakana_remains"
"ryuugasaki-ibaraki-ryuugasakishi","竜ヶ崎","りゅうがさき","リュウガサキ","ら","special_char"
"ryuukemizu-kagoshima-kagoshimashi","竜ヶ水","りゅうヶすい","リュウヶスイ","ら","kanji_remains;katakana_remains;special_char"
"ryuukesakishi-ibaraki-ryuugasakishi","龍ケ崎市","りゅうがさきし","リュウガサキシ","ら","special_char"
"ryuukokutoyamakoukoumae（eirakuchou）-toyama-toyamashi","龍谷富山高校前（永楽町）","りゅうたにとやまこうこうまえ（えいらくまち）","リュウタニトヤマコウコウマエ（エイラクマチ）","ら","long_reading"
"ryuutsuusentaa-tokyo-ootaku","流通センター","りゅうつうセンター","リュウツウセンター","ら","katakana_remains"
"saginomiya-tokyo-nakanoku","鷺ノ宮","さぎノみや","サギノミヤ","さ","katakana_remains;special_char"
"saisen9jouasahiyamakouentoori-hokkaido-sapporoshi","西線9条旭山公園通","にしせん9じょうあさひやまこうえんどおり","ニシセン9ジョウアサヒヤマコウエンドオリ","な","long_reading"
"saishinchuuou-hyogo-koubeshi","西神中央","せいしんちゅうおう","セイシンチュウオウ","さ","special_char"
"saishinminami-hyogo-koubeshi","西神南","にしじんなん","ニシジンナン","な","special_char"
"saishinraku-hokkaido-asahikawashi","西神楽","にしかぐら","ニシカグラ","な","special_char"
"saishuniryousentaamae-kumamoto-koushishi","再春医療センター前","さいはるいりょうセンターまえ","サイハルイリョウセンターマエ","さ","katakana_remains"
"sakanoshi-oita-ooitashi","坂ノ市","さかノいち","サカノイチ","さ","katakana_remains;special_char"
"sakayukiue-kagoshima-kagoshimashi","坂之上","さかのうえ","サカノウエ","さ","special_char"
"sakuragaoka-kanagawa-yamatoshi","桜ヶ丘","さくらがおか","サクラガオカ","さ","special_char"
"sakuranomiya-osaka-oosakashi","桜ノ宮","さくらノみや","サクラノミヤ","さ","katakana_remains;special_char"
"sakuuminokuchi-nagano-nanmokumura","佐久海ノ口","さくうみノくち","サクウミノクチ","さ","katakana_remains;special_char"
"sandoomunishi-fukui-sabaeshi","サンドーム西","サンドームにし","サンドームニシ","その他","katakana_remains"
"sangyoushinkousentaa-kanagawa-yokohamashi","産業振興センター","さんぎょうしんこうセンター","サンギョウシンコウセンター","さ","katakana_remains"
"sanjuuhachisha-fukui-sabaeshi","三十八社","さんじゅうはちしゃ","サンジュウハチシャ","さ","special_char"
"sankemori-fukuoka-kitakyuushuushi","三ヶ森","さんがもり","サンガモリ","さ","special_char"
"sankene-aichi-koudamachi","三ヶ根","さんがね","サンガネ","さ","special_char"
"sankenichi-shizuoka-hamamatsushi","三ヶ日","みっかび","ミッカビ","ま","special_char"
"sankeyamaguchi-osaka-kaizukashi","三ヶ山口","さんヶやまぐち","サンヶヤマグチ","さ","kanji_remains;katakana_remains;special_char"
"sannomiya-hyogo-koubeshi","三ノ宮","さんノみや","サンノミヤ","さ","katakana_remains;special_char"
"sannomiya.hanadokeimae-hyogo-koubeshi","三宮・花時計前","さんのみや・はなとけいまえ","サンノミヤ・ハナトケイマエ","さ","katakana_remains"
"sannowa-tokyo-taitouku","三ノ輪","みノわ","ミノワ","ま","katakana_remains;special_char"
"sannowahashi-tokyo-arakawaku","三ノ輪橋","みノわきょう","ミノワキョウ","ま","katakana_remains;special_char"
"santsuishi-kumamoto-koushishi","三ツ石","みツいし","ミツイシ","ま","katakana_remains"
"santsumatsu-osaka-kaizukashi","三ツ松","みつまツ","ミツマツ","ま","katakana_remains"
"santsusakai-kanagawa-yokohamashi","三ツ境","みツざかい","ミツザカイ","ま","katakana_remains"
