station_group_slug,station_name,generated_hiragana,generated_katakana,generated_initial_kana,reason
"tousousha-okayama-soushashi","東総社","ひがしそうじゃ","ヒガシソウジャ","は","special_char"
"toyotamobiriteitoyamagsukueagofukumae（gofukusuehirochou）-toyama-toyamashi","トヨタモビリティ富山Gスクエア五福前（五福末広町）","トヨタモビリティとやまGスクエアごふくまえ（ごふくすえひろまち）","トヨタモビリティトヤマgスクエアゴフクマエ（ゴフクスエヒロマチ）","その他","katakana_remains;long_reading"
"tsuga.mikita-osaka-sakaishi","栂・美木多","つが・みきた","ツガ・ミキタ","た","katakana_remains"
"tsunoi-tottori-tottorishi","津ノ井","つノい","ツノイ","た","katakana_remains;special_char"
"tsunomori-shimane-matsueshi","津ノ森","つノもり","ツノモリ","た","katakana_remains;special_char"
"tsurugamine-kanagawa-yokohamashi","鶴ヶ峰","つるヶほう","ツルヶホウ","た","kanji_remains;katakana_remains;special_char"
"tsurukeoka-osaka-oosakashi","鶴ヶ丘","つるヶおか","ツルヶオカ","た","kanji_remains;katakana_remains;special_char"
"tsurukesaka-aomori-aomorishi","鶴ヶ坂","つるがさか","ツルガサカ","た","special_char"
"tsurukeshima-saitama-kawagoeshi","鶴ヶ島","つるがしま","ツルガシマ","た","special_char"
"tsushimanomiya-kagawa-mitoyoshi","津島ノ宮","つしまノみや","ツシマノミヤ","た","katakana_remains;special_char"
"tsutsujigaoka-miyagi-sendaishi","榴ヶ岡","つつじがおか","ツツジガオカ","た","special_char"
"tsutsujikeoka-tokyo-choufushi","つつじヶ丘","つつじヶおか","ツツジヶオカ","た","kanji_remains;katakana_remains;special_char"
"tsuzumikeura-mie-suzukashi","鼓ヶ浦","つづみがうら","ツヅミガウラ","た","special_char"
"uddeitaunchuuou-hyogo-mitashi","ウッディタウン中央","ウッディタウンちゅうおう","ウッディタウンチュウオウ","その他","katakana_remains"
"uege-aichi-taketoyomachi","上ゲ","あゲ","アゲ","あ","katakana_remains"
"uenoshou-mie-matsusakashi","上ノ庄","かみノしょう","カミノショウ","か","katakana_remains;special_char"
"uenotaishi-osaka-habikinoshi","上ノ太子","かみノたいし","カミノタイシ","か","katakana_remains;special_char"
"uesupatsubakiyama-aomori-fukauramachi","ウェスパ椿山","ウェスパちんざん","ウェスパチンザン","その他","katakana_remains"
"ugoshitsuya-akita-daisenshi","羽後四ツ屋","うごよツや","ウゴヨツヤ","あ","katakana_remains"
"umekeoka-tokyo-setagayaku","梅ヶ丘","うめヶおか","ウメヶオカ","あ","kanji_remains;katakana_remains;special_char"
"umekesawa-miyagi-toyoneshi","梅ヶ沢","うめがさわ","ウメガサワ","あ","special_char"
"umeketani-mie-daiosamumachi","梅ヶ谷","うめヶたに","ウメヶタニ","あ","kanji_remains;katakana_remains;special_char"
"umeketouge-yamaguchi-shimonosekishi","梅ヶ峠","うめがとう","ウメガトウ","あ","special_char"
"umigami-chiba-funabashishi","海神","わたつみ","ワタツミ","わ","special_char"
"uminochuudou-fukuoka-fukuokashi","海ノ中道","うみノなかみち","ウミノナカミチ","あ","katakana_remains;special_char"
"uminokuchi-nagano-oomachishi","海ノ口","うみノくち","ウミノクチ","あ","katakana_remains;special_char"
"unomachi-ehime-nishishi","卯之町","うのまち","ウノマチ","あ","special_char"
"uranosaki-saga-imarishi","浦ノ崎","うらノさき","ウラノサキ","あ","katakana_remains;special_char"
"ushigomekagurazaka-tokyo-shinjukuku","牛込神楽坂","うしごめかぐらざか","ウシゴメカグラザカ","あ","special_char"
"ushikehara-fukui-oonoshi","牛ケ原","うしがはら","ウシガハラ","あ","special_char"
"ushinohama-kagoshima-akuneshi","牛ノ浜","うしノはま","ウシノハマ","あ","katakana_remains;special_char"
"ushinotani-fukui-awarashi","牛ノ谷","うしノや","ウシノヤ","あ","katakana_remains;special_char"
"uzumasatenjinkawa-kyoto-kyoutoshi","太秦天神川","うずまさてんじんかわ","ウズマサテンジンカワ","あ","special_char"
"wani-shiga-ootsushi","和邇","かず邇","カズ邇","か","kanji_remains"
"yabukami-niigata-uonumashi","藪神","やぶしん","ヤブシン","や","special_char"
"yagami-okayama-niimishi","矢神","やがみ","ヤガミ","や","special_char"
"yagisawa.miyakotandai-iwate-miyafurushi","八木沢・宮古短大","やぎさわ・みやこたんだい","ヤギサワ・ミヤコタンダイ","や","katakana_remains"
"yakujin-hyogo-kakogawashi","厄神","やくじん","ヤクジン","や","special_char"
"yamanokuchi-miyazaki-miyakonojoushi","山之口","やまのくち","ヤマノクチ","や","special_char"
"yamanome-iwate-ichizekishi","山ノ目","やまノめ","ヤマノメ","や","katakana_remains;special_char"
"yamanonai-hiroshima-shoubarashi","山ノ内","やまノうち","ヤマノウチ","や","katakana_remains;special_char"
"yamanonai-kyoto-kyoutoshi","山ノ内","やまノうち","ヤマノウチ","や","katakana_remains;special_char"
"yanagikeura-oita-usashi","柳ヶ浦","やなぎヶうら","ヤナギヶウラ","や","kanji_remains;katakana_remains;special_char"
"yasukokeshima-fukushima-kooriyamashi","安子ヶ島","やすこヶとう","ヤスコヶトウ","や","kanji_remains;katakana_remains;special_char"
"yomiurirandomae-kanagawa-kawasakishi","読売ランド前","よみうりランドまえ","ヨミウリランドマエ","や","katakana_remains"
"yorunomori-fukushima-tomiokamachi","夜ノ森","よるノもり","ヨルノモリ","や","katakana_remains;special_char"
"yoshiminosato-osaka-tajirimachi","吉見ノ里","よしみノさと","ヨシミノサト","や","katakana_remains;special_char"
"yoshinojinguu-nara-yoshinomachi","吉野神宮","よしのじんぐう","ヨシノジングウ","や","special_char"
"yoshinokesatokouen-saga-yoshinosatomachi","吉野ヶ里公園","よしのヶさとこうえん","ヨシノヶサトコウエン","や","kanji_remains;katakana_remains;special_char"
"youtani-oita-hinodemachi","暘谷","暘たに","暘タニ","その他","kanji_remains"
"yuikehama-kanagawa-kamakurashi","由比ヶ浜","ゆいがはま","ユイガハマ","や","special_char"
"yumikehama-tottori-yonagoshi","弓ヶ浜","ゆみがはま","ユミガハマ","や","special_char"
"yunibaasarushitei-osaka-oosakashi","ユニバーサルシティ","ユニバーサルシティ","ユニバーサルシティ","その他","katakana_remains"
"yunotouge-yamaguchi-sanyouonodashi","湯ノ峠","ゆノとう","ユノトウ","や","katakana_remains;special_char"
"yurikeoka-kanagawa-kawasakishi","百合ヶ丘","ひゃくごうヶおか","ヒャクゴウヶオカ","は","kanji_remains;katakana_remains;special_char"
"yuubikan-miyagi-oosakishi","有備館","ゆう備かん","ユウ備カン","や","kanji_remains"
"yuuhikeurakitsuonsen-kyoto-kyoutangoshi","夕日ヶ浦木津温泉","ゆうひヶうらぎつおんせん","ユウヒヶウラギツオンセン","や","kanji_remains;katakana_remains;special_char"
"yuukarigaoka-chiba-sakurashi","ユーカリが丘","ユーカリがおか","ユーカリガオカ","その他","katakana_remains"
"yuyukimoto-kagoshima-hiokishi","湯之元","ゆのもと","ユノモト","や","special_char"
"zushi.hayama-kanagawa-zushishi","逗子・葉山","ずし・はやま","ズシ・ハヤマ","さ","katakana_remains"
