station_group_slug,station_name,generated_hiragana,generated_katakana,generated_initial_kana,reason
"kushikehama-yamaguchi-shuuminamiichi","櫛ヶ浜","くしヶはま","クシヶハマ","か","kanji_remains;katakana_remains;special_char"
"kuukoudai2biru-chiba-naritashi","空港第2ビル","くうこうだい2ビル","クウコウダイ2ビル","か","katakana_remains"
"kyoukese-niigata-aganoichi","京ヶ瀬","きょうがせ","キョウガセ","か","special_char"
"kyouseramae-shiga-higashioumishi","京セラ前","きょうセラまえ","キョウセラマエ","か","katakana_remains"
"kyuukaniryousentaamae-toyama-takaokashi","急患医療センター前","きゅうかんいりょうセンターまえ","キュウカンイリョウセンターマエ","か","katakana_remains"
"kyuukyoryuuchi.daimarumae-hyogo-koubeshi","旧居留地・大丸前","きゅうきょりゅうち・だいまるまえ","キュウキョリュウチ・ダイマルマエ","か","katakana_remains"
"kyuunohama-fukushima-iwakishi","久ノ浜","ひさノはま","ヒサノハマ","は","katakana_remains;special_char"
"maeyukihama-kagoshima-kagoshimashi","前之浜","まえのはま","マエノハマ","ま","special_char"
"makino-shiga-takashimashi","マキノ","マキノ","マキノ","その他","katakana_remains;special_char"
"manketsuka-miyazaki-miyakonojoushi","万ヶ塚","まんがつか","マンガツカ","ま","special_char"
"marinpaaku-hyogo-koubeshi","マリンパーク","マリンパーク","マリンパーク","その他","katakana_remains"
"marunouchi-aichi-kiyosushi","丸ノ内","まるノうち","マルノウチ","ま","katakana_remains;special_char"
"matsuefoogerupaaku-shimane-matsueshi","松江フォーゲルパーク","まつえフォーゲルパーク","マツエフォーゲルパーク","ま","katakana_remains"
"matsueingurisshugaadenmae-shimane-matsueshi","松江イングリッシュガーデン前","まつえイングリッシュガーデンまえ","マツエイングリッシュガーデンマエ","ま","katakana_remains"
"matsugasaki-kyoto-kyoutoshi","松ヶ崎","まつがさき","マツガサキ","ま","special_char"
"matsugasaki-mie-matsusakashi","松ヶ崎","まつがさき","マツガサキ","ま","special_char"
"matsukami-aomori-fukauramachi","松神","まつがみ","マツガミ","ま","special_char"
"matsukeura-kagoshima-minamikyuushuushi","松ヶ浦","まつヶうら","マツヶウラ","ま","kanji_remains;katakana_remains;special_char"
